OriginalPath,OriginalName,ProposedName,Ext,Status,Snippet
resume/1634.docx,1634.docx,Schedule ___ Form Statement Work Product.docx,.docx,Renamed,SCHEDULE ___ FORM OF STATEMENT OF WORK Product Discovery – GEDI Core Product Set STATEMENT OF WORK   BETWEEN  TRIZETTO PROVIDER SOLUTIONS  A COGNIZANT COMPANY  AND  COGNIZANT TECHNOLOGY SOLUTIONS INC.
resume/1632.docx,1632.docx,Sebastián Culebras Tech Leader Technical Buenos.docx,.docx,Renamed,"Sebastián Culebras Tech Leader, Technical BA | Buenos Aires    EXPERIENCE HIGHLIGHTS 16 years working involved in all software lifecycle. Playing the following roles: Tech Leader, Project Manager, Scr"
resume/1665.docx,1665.docx,Insert Full Name Insert Role Insert.docx,.docx,Renamed,"[Insert Full Name] [Insert Role] | [Insert City/State]    EXPERIENCE HIGHLIGHTS [Include a few bullets here summarize key experience...industries of projects you’ve worked on, types of applications (m"
resume/1666.docx,1666.docx,Insert Full Name Insert Role Insert.docx,.docx,Renamed,"[Insert Full Name] [Insert Role] | [Insert City/State]    EXPERIENCE HIGHLIGHTS [Include a few bullets here summarize key experience...industries of projects you’ve worked on, types of applications (m"
resume/1728.docx,1728.docx,George Peters Product Manager Orange County.docx,.docx,Renamed,"George Peters Product Manager | Orange County, California   EXPERIENCE HIGHLIGHTS Years of Experience in Role: 15 years Industries: Healthcare, Scientific Instruments, Oil & Gas, Food & Beverage, Cons"
resume/1731.docx,1731.docx,Chhavi Katyal Chhavi.katyalgmail.com 602-500-8877 Currently Playing.docx,.docx,Renamed,Chhavi Katyal chhavi.katyal@gmail.com | 602-500-8877  I’m currently playing the role of a senior PO handling the complete BAU workspace for Enterprise API services for Truist Bank. The Bank is current
resume/1760.docx,1760.docx,Esteban Solis Business Analyst Product Manager.docx,.docx,Renamed,"Esteban Solis Business Analyst / Product Manager | Austin Texas  EXPERIENCE HIGHLIGHTS Experience working with pair programmers, and agile methodology. At American Airlines, my efforts allowed the Buy"
resume/1778.docx,1778.docx,Guerino Reno Picconi Product Managerowner San.docx,.docx,Renamed,"Guerino (Reno) Picconi Product Manager/Owner | San Diego, California    EXPERIENCE HIGHLIGHTS  Over 10 years of experience as a Product Manager/Owner in the B2C and B2B/Enterprise channels for industr"
resume/1780.docx,1780.docx,Mitchell Malpartida Tech Lead Henderson Experience.docx,.docx,Renamed,"Mitchell Malpartida Tech Lead/ BA | Henderson, NV  EXPERIENCE HIGHLIGHTS Over 18 years of professional digital experience, from helping define requirements to building development teams in Web Design,"
pp/4924.pptx,4924.pptx,Cognizant Proposal Comcast Unified Planning Discovery.pptx,.pptx,Renamed,"Cognizant Proposal for Comcast Unified Planning Discovery Phase

April 2019 © 2019 Cognizant Agenda © 2019 Cognizant ‹#›  Our Understanding of the ask © 2019 Cognizant ‹#› Comcast Spotlight wants to b"
pp/2745.pptx,2745.pptx,Our Approach Research Workshops Our Projects.pptx,.pptx,Renamed,"Our Approach     Research & Workshops

Our projects typically begin with a series of foundational research activities we call Product Definition Workshops. They provide a thorough understanding of the"
pp/2873.pptx,2873.pptx,Credit Account Overview June 2019 2018.pptx,.pptx,Renamed,"VW CREDITAccount Overview June  2019 © 2018 Cognizant VCI  - PROPOSALS TO DATE  © 2018 Cognizant ‹#› (Red indicates next step) *June 13, 2019 - Draft MSA received from VCI, with CTS legal, due back t"
pp/1619.pptx,1619.pptx,Open Defects Defect Age Static Code.pptx,.pptx,Renamed,Open Defects Defect Age Static Code Analysis (SCA) Warnings Throughput (add tech debt overlay) Team Size: 23  Burn-Ups for Current Quarter
pp/2961.pptx,2961.pptx,Design Process Driven Discovery Breakdown Discovery.pptx,.pptx,Renamed,"UX & Design PROCESS DRIVEN DISCOVERY BREAKDOWN DISCOVERY PROCESS DISCOVERY DELIVERABLES DISCOVERY DELIVERABLES
     User types Core User Workflows Information Architecture"
pp/3096.pptx,3096.pptx,Digital. Innovation. Scale. Cognizant Softvision 2019.pptx,.pptx,Renamed,"DIGITAL.
INNOVATION.
SCALE. Cognizant Softvision / 2019  Softvision Overview
Our Understanding
Apiture Product Approach
Customer Success Stories
 Agenda DIGITAL PRODUCT ENGINEERING CULTURE  STUDIOS TR"
pp/231.pptx,231.pptx,Paul Singh Paul.singhsoftvision.com 404.455.5595 Product Manager.pptx,.pptx,Renamed,"Paul Singh paul.singh@softvision.com
404.455.5595 	Product Manager with comprehensive knowledge of Software Development Life Cycle (SDLC) and thorough understanding of its various methodologies like W"
pp/307.pptx,307.pptx,Paul Singh Paul.singhsoftvision.com 404.455.5595 Product Manager.pptx,.pptx,Renamed,"Paul Singh paul.singh@softvision.com
404.455.5595 	Product Manager with comprehensive knowledge of Software Development Life Cycle (SDLC) and thorough understanding of its various methodologies like W"
pp/426.pptx,426.pptx,Emiliano Musacco Emiliano.musaccosoftvision.com Business Analyst Years.pptx,.pptx,Renamed,"Emiliano Musacco Emiliano.musacco@softvision.com
 Business Analyst with 10+ years of experience as a BA in different industries such as: telecommunications, health, metal industry, security, most of t"
pp/314.pptx,314.pptx,Paul Singh Paul.singhsoftvision.com 404.455.5595 Product Manager.pptx,.pptx,Renamed,"Paul Singh paul.singh@softvision.com
404.455.5595 	Product Manager with comprehensive knowledge of Software Development Life Cycle (SDLC) and thorough understanding of its various methodologies like W"
pp/695.pptx,695.pptx,Emiliano Musacco Emiliano.musaccosoftvision.com Business Analyst Years.pptx,.pptx,Renamed,"Emiliano Musacco Emiliano.musacco@softvision.com
 Business Analyst with 10+ years of experience as a BA in different industries such as: telecommunications, health, metal industry, security, most of t"
pp/713.pptx,713.pptx,Esteban Solis Esteban.solissoftvision.com 936.208.3406 Business Analyst.pptx,.pptx,Renamed,"Esteban Solis esteban.solis@softvision.com
936.208.3406 Business Analyst with 6+ years of experience from product ideation to launch by leveraging design thinking methodologies and agile frameworks. S"
pp/442.pptx,442.pptx,Name Email 999.999.9999 Client Focused Business.pptx,.pptx,Renamed,"Name email
999.999.9999 	Client focused Business Analyst and Certified Scrum Master with 9+ years experience in web and mobile UI configurations and development in medium to large organizations. Exper"
pp/2073.pptx,2073.pptx,Emiliano Musacco Emiliano.musaccosoftvision.com Business Analyst Years.pptx,.pptx,Renamed,"Emiliano Musacco Emiliano.musacco@softvision.com
 Business Analyst with 10+ years of experience as a BA in different industries such as: telecommunications, health, metal industry, security, most of t"
pp/3081.pptx,3081.pptx,2018 Cognizant Product Discovery Components Successful.pptx,.pptx,Renamed,"© 2018 Cognizant 1 Product Discovery  components of a successful product journey  User Insight & Current State Audit
Uncover and learn about the users, challenges and what they might expect from a sol"
pp/722.pptx,722.pptx,Esteban Solis Esteban.solissoftvision.com 936.208.3406 Business Analyst.pptx,.pptx,Renamed,"Esteban Solis esteban.solis@softvision.com
936.208.3406 Business Analyst with 6+ years of experience from product ideation to launch by leveraging design thinking methodologies and agile frameworks. S"
pp/2075.pptx,2075.pptx,Esteban Solis Esteban.solissoftvision.com 936.208.3406 Business Analyst.pptx,.pptx,Renamed,"Esteban Solis esteban.solis@softvision.com
936.208.3406 Business Analyst with 6+ years of experience from product ideation to launch by leveraging design thinking methodologies and agile frameworks. S"
pp/4929.pptx,4929.pptx,Tcm Support Proposal Tcm Support Scope.pptx,.pptx,Renamed,"TCM Support Proposal TCM Support Scope
Responsive support for Test Admin audience
 Create and track tickets for the live product
Investigate issues reported by users
Bug fixing
Implement functionality"
pp/4930.pptx,4930.pptx,Tcm Support Proposal Tcm Support Scope.pptx,.pptx,Renamed,"TCM Support Proposal TCM Support Scope
Responsive support for Test Admin audience
 Create and track tickets for the live product
Investigate issues reported by users
Bug fixing
Implement functionality"
pp/2032.pptx,2032.pptx,Name Email 999.999.9999 Client Focused Business.pptx,.pptx,Renamed,"Name email
999.999.9999 	Client focused Business Analyst and Certified Scrum Master with 9+ years experience in web and mobile UI configurations and development in medium to large organizations. Exper"
pp/2643.pptx,2643.pptx,Assignments Overview- Emmanuel Joseph Emmanuel.josephsoftvision.com 857271-9697.pptx,.pptx,Renamed,"Assignments Overview- Emmanuel Joseph emmanuel.joseph@softvision.com
(857)271-9697   Assignments Overview- 2020 Primarily assigned to two Product teams: (Q1 2020- Present)
	Gilead Enterprise Search P"
pp/3545.pptx,3545.pptx,Modernizing Cdbt Our Story Hills Will.pptx,.pptx,Renamed,"Modernizing CDB&T Our story, hills we will own, and portfolio for value March 2021 © 2021 Cognizant; Confidential. Not for public distribution                                Process by process, experi"
pp/2400.pptx,2400.pptx,February 2021 Trizetto Provider Solutions Platform.pptx,.pptx,Renamed,"February 10, 2021
 Trizetto Provider 
Solutions Platform 
Discovery Approach
February 10, 2021 Collectively with Trizetto, Cognizant Softvision will conduct  series of workshops and meetings with key "
pp/2460.pptx,2460.pptx,2020 Cognizant Hcsc Project Product Org.pptx,.pptx,Renamed,© 2020 Cognizant HCSC - Project to Product OrgSocialization Strategy and Plan January 2020 Purpose This document provides an overview of the Socialization and Change strategy for HCSC Project to Prod
pp/2462.pptx,2462.pptx,February 2021 Trizetto Provider Solutions Platform.pptx,.pptx,Renamed,"February 10, 2021
 Trizetto Provider 
Solutions Platform 
Discovery Approach
February 10, 2021 Collectively with Trizetto, Cognizant Softvision will conduct  series of workshops and meetings with key "
pp/2620.pptx,2620.pptx,Product Design Discovery Define Discovery All.pptx,.pptx,Renamed,"PRODUCT & DESIGN DISCOVERY  Define “Discovery”

All of our projects begin with a series of foundational research activities we call Discovery Workshops. They provide a thorough understanding of the pr"
pp/2718.pptx,2718.pptx,Our Approach Cognizant Interactive Foresight Services.pptx,.pptx,Renamed,"Our Approach Cognizant Interactive From foresight services and experience design, to running some of the largest digital support services of their kind, we help our clients envision and operate tomorr"
pp/2874.pptx,2874.pptx,Ford Motor Credit Company Fmcc Refinance.pptx,.pptx,Renamed,Ford Motor Credit Company (FMCC)Refinance and Servicing Experience RedesignCognizant Approach Proposal May 2019 © 2019 Cognizant © 2019 Cognizant 2 Executive summary FMCC wants to be a front runne
pp/2959.pptx,2959.pptx,Hcsc Moving Product-driven Organization Our Understanding.pptx,.pptx,Renamed,"HCSC
MOVING TO A PRODUCT-DRIVEN ORGANIZATION OUR UNDERSTANDING  

IT Product team doesn’t have true long term vision or ownership of the products

Budgets are project based vs product based

Business"
pp/2962.pptx,2962.pptx,Cognizant Discovery Examples Ingeniorx Show Tell.pptx,.pptx,Renamed,"Cognizant Discovery Examples IngenioRx
Show and Tell    ANTHEM - Ingenio-Rx Benefit Manager Platform 
 DISCOVERY PROCESS Discovery Process Goals and Vision Goals and Vision During the the week 1 disc"
pp/2984.pptx,2984.pptx,Cognizant Discovery Examples Ingeniorx Show Tell.pptx,.pptx,Renamed,"Cognizant Discovery Examples IngenioRx
Show and Tell    ANTHEM - Ingenio-Rx Benefit Manager Platform 
 DISCOVERY PROCESS Discovery Process Goals and Vision Goals and Vision During the the week 1 disc"
pp/3006.pptx,3006.pptx,Unified Campaign Planning Effort Scoping Discussion.pptx,.pptx,Renamed,"Unified Campaign PlanningEffort Scoping Discussion  Cognizant & ReD Associates
May 1, 2019  © 2019 Cognizant Objectives for Today’s Session Understand how Cognizant/ReD can support Spotlight across d"
pp/3026.pptx,3026.pptx,Our Approach Cognizant Softvision 2019 Design.pptx,.pptx,Renamed,"OUR 
APPROACH
 Cognizant Softvision / 2019  DESIGN LED APPROACH
Solve meaningful problems for your product by using the Design Thinking Process
 UX/UI EvaluationConduct usability inspection on the cu"
pp/3082.pptx,3082.pptx,Apiture Digital Banking Transforming Mobile Banking.pptx,.pptx,Renamed,"Apiture Digital BankingTransforming mobile banking solution to derive high value March 29, 2019 Contents © 2018 Cognizant 2 Mobile Banking Solution Rewrite
Why it matters
The challenge
Our understand"
pp/3102.pptx,3102.pptx,Sample Business Case Business Case Definition.pptx,.pptx,Renamed,"Sample Business Case Business Case Definition - Approach © 2018 Cognizant 2 Assess Strategy Understand the business strategy and technology roadmap
Assess the product roadmap
Impact assessment on appl"
pp/3112.pptx,3112.pptx,Direct Current State Design Demo When.pptx,.pptx,Renamed,"NF Direct Current State Design Demo When users create accounts, their data inputs are persisted and will re-populate the tool if they log in later.  Users can go through the entire experience without "
pp/893.pptx,893.pptx,Cognizant Softvision 2019 Designing Experiences. Engineering.pptx,.pptx,Renamed,"Cognizant Softvision / 2019   Designing
Experiences. 
Engineering 
Outcomes. OUR UNDERSTANDING    SOLUTION ARCHITECT
Cognizant Softvision TECH LEAD
Cognizant Softvision TIGER TEAM: 2-WEEK ENGAGEMENT  "
pp/1113.pptx,1113.pptx,Week Problem Framing Summary Trizetto Claimlogic.pptx,.pptx,Renamed,"Week 1 - Problem Framing Summary Trizetto (ClaimLogic, GEDI, NHXS) Weekly Status   Our Findings Week 1 - Problem Framing Claim Logic Workshop Activities Summary from Workshop 1 

 
The functionality o"
dt/11.pdf,11.pdf,Corrected Checked Caution Amount Shown May.pdf,.pdf,Renamed,"CORRECTED (if checked)* Caution: The amount shown may not be fully deductible by you. Limits based on the loan amount and the cost and value of the secured property may apply. Also, you may only deduc"
